"customer_id","recency","frequency","amount","rankR","rankF","rankM","score"
"57090e78d3cde8e656a2ae6b",37,3,4.53869090793224,"5",1,"1","511"
"570923f2d2cde82a1762709b",28,2,10.3544793767797,"5",1,"1","511"
"570a6a9bd3cde8133ca2ae33",15,1,3.58791308932558,"5",1,"1","511"
"570b0018d3cde8324fa2ada4",20,2,3.0155924623475,"5",1,"1","511"
"570b7d93d4cde85762d544a6",7,3,8.40554745100093,"5",1,"1","511"
"5710dd4fd3cde8572ca2ae82",41,7,3.76230492196879,"5",1,"1","511"
"571136b2d3cde85130a2adbf",16,2,7.78870500926887,"5",1,"1","511"
"57153a60d3cde81839a2af32",24,1,4.95511396901153,"5",1,"1","511"
"57177383d4cde8597d59c62f",13,1,12.0185239889371,"5",1,"1","511"
"571a66fbd2cde86e3aff598e",28,2,7.303020352886,"5",1,"1","511"
"571b646ad2cde84b33ff5a82",15,2,8.90023744105404,"5",1,"1","511"
"571f067dd3cde8f96887f919",32,2,8.31517175244166,"5",1,"1","511"
"5725d087d4cde860439c6adb",34,2,5.56116452803428,"5",1,"1","511"
"57275ee2d4cde893109c6952",8,2,7.67412670854034,"5",1,"1","511"
"57275f1fd3cde825710f3891",6,2,2.82017659959135,"5",1,"1","511"
"5728577fd2cde86a6d6452c2",19,1,8.78991596638656,"5",1,"1","511"
"572a41e9d4cde893349c6aa4",15,1,2.49823625180898,"5",1,"1","511"
"572cba5cd4cde8dc7427edd3",7,2,3.99267486827167,"5",1,"1","511"
"572df64cd2cde89140df3c58",27,2,9.45852905333556,"5",1,"1","511"
"5730e8f3d4cde8131d6b291a",20,2,6.22834579156756,"5",1,"1","511"
"57336f28d3cde8997f3ce6e1",10,2,8.77244377594107,"5",1,"1","511"
"5734ba89d2cde82072266c62",26,2,8.81498632780038,"5",1,"1","511"
"5735dc14d4cde8c37875fdaa",43,2,11.7181436826868,"5",1,"1","511"
"5736ea92d4cde86c4b75fd72",31,2,10.4685760708918,"5",1,"1","511"
"573d7ce0d4cde8cd2ad4aa75",21,2,5.18165515970555,"5",1,"1","511"
"57437972d3cde84304e78cd3",37,3,7.34722222222222,"5",1,"1","511"
"574bdd1cd4cde8f17d4aa379",8,2,11.5546218487395,"5",1,"1","511"
"574c6ea7d2cde8ed0422142c",36,3,8.72222222222222,"5",1,"1","511"
"574e8dc1d2cde81e7c221516",18,3,11.9681438935379,"5",1,"1","511"
"575b114cd4cde8c57ee23776",29,2,10.0900128709908,"5",1,"1","511"
"575e98fad3cde8f5377ae895",29,3,11.3445378151261,"5",1,"1","511"
"5762a49cd2cde81b735aa432",25,1,6.25,"5",1,"1","511"
"57695c02d3cde811557f311d",19,2,9.5375,"5",1,"1","511"
"57725066d3cde8d1145bfc38",42,2,10.4579831932773,"5",1,"1","511"
"5774ebe4d4cde8cb0de391da",29,2,12.0420168067227,"5",1,"1","511"
"577572d0d4cde81a03e39351",8,2,11.8895428976028,"5",1,"1","511"
"577d4e1cd4cde8e82be87242",13,2,6.76470588235294,"5",1,"1","511"
"577e77e4d2cde8f86fb5f081",41,1,7.14285714285714,"5",1,"1","511"
"5780d166d2cde82878b5f003",20,3,11.420964787119,"5",1,"1","511"
"5780dc91d2cde89c6ab5f0c9",45,1,0.73949579831933,"5",1,"1","511"
